id__,country,regio,s3,anni,area,s5,q3ter,q4__4,q4__5,q4__6,q4__7,q4__8,q4__9,q4__10,q5__4,q5__5,q5__6,q5__7,q5__8,q5__9,q5__10,eta,stile
44,Italia,Sardegna,Femmina,30,Sud e Isole,Soprattutto io,"SALUTISTI: sono molto attenti a un’alimentazione sana, spesso sono sotto regime dietetico e si concedono pochi sgarri du",1 volta a settimana,1 volta al mese,1 volta a settimana,1 volta al mese,1 volta a settimana,2-3 volte a settimana,1 volta a settimana,Uguale,Un po’ diminuito,Uguale,Molto diminuito,Uguale,Uguale,Un po’ diminuito,25-34,Salutisti
45,Italia,Emilia Romagna,Maschio,20,Nord Est,Soprattutto io,"ESTEROFILI: sempre pronti a sperimentare nuove cucine, differenti dai consueti piatti nazionali. Sono dei viaggiatori de",Più raramente,Più raramente,4-5 volte all’anno,Più raramente,2-3 volte al mese,Mai,Più raramente,Uguale,Uguale,Un po’ diminuito,Uguale,Un po’ aumentato,Uguale,Uguale,20-24,Esterofili
46,Italia,Abruzzo,Maschio,54,Sud e Isole,Io e qualcun altro in egual misura,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",1 volta a settimana,1 volta a settimana,1 volta a settimana,1 volta a settimana,1 volta a settimana,1 volta a settimana,1 volta a settimana,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,45-54,Territorialisti
47,Italia,Calabria,Maschio,23,Sud e Isole,Soprattutto io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",2-3 volte a settimana,2-3 volte a settimana,1 volta a settimana,2-3 volte a settimana,2-3 volte a settimana,2-3 volte a settimana,2-3 volte a settimana,Un po’ diminuito,Uguale,Un po’ aumentato,Un po’ aumentato,Un po’ aumentato,Uguale,Un po’ aumentato,20-24,Territorialisti
48,Italia,Veneto,Maschio,24,Nord Est,Principalmente io e occasionalmente altri,"INDUSTRIARIANI: comprano nei supermercati, di cui vedono diverse qualità, tra cui avere merce sicura tutto l’anno a prez",2-3 volte a settimana,2-3 volte a settimana,Tutti i giorni o quasi,Tutti i giorni o quasi,Tutti i giorni o quasi,Tutti i giorni o quasi,2-3 volte a settimana,Uguale,Uguale,Uguale,Un po’ aumentato,Molto aumentato,Uguale,Un po’ aumentato,20-24,Industriariani
49,Italia,Toscana,Maschio,25,Centro,Solo io,"RISTORIANI: consumano molto frequentemente in ristoranti o bar, iniziano la mattina con la classica colazione al bar (pe",1 volta a settimana,1 volta a settimana,Tutti i giorni o quasi,2-3 volte a settimana,2-3 volte a settimana,2-3 volte a settimana,Tutti i giorni o quasi,Un po’ aumentato,Uguale,Uguale,Un po’ diminuito,Un po’ diminuito,Un po’ diminuito,Un po’ diminuito,25-34,Ristoriani
54,Italia,Lazio,Maschio,24,Centro,Io e qualcun altro in egual misura,"SALUTISTI: sono molto attenti a un’alimentazione sana, spesso sono sotto regime dietetico e si concedono pochi sgarri du",Mai,Mai,2-3 volte a settimana,Mai,Tutti i giorni o quasi,Mai,Mai,Molto diminuito,Molto diminuito,Molto diminuito,Molto diminuito,Uguale,Molto diminuito,Molto diminuito,20-24,Salutisti
55,Italia,Emilia Romagna,Maschio,23,Nord Est,Principalmente io e occasionalmente altri,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",2-3 volte al mese,4-5 volte all’anno,2-3 volte a settimana,2-3 volte a settimana,2-3 volte a settimana,1 volta al mese,2-3 volte a settimana,Un po’ diminuito,Un po’ diminuito,Uguale,Uguale,Uguale,Molto diminuito,Uguale,20-24,Territorialisti
57,Italia,Campania,Maschio,25,Sud e Isole,Solo io,"SALUBRISTI: vedono il cibo come un modo per preservare la loro salute. Sono molto attenti alla salubrità degli alimenti,",Più raramente,2-3 volte al mese,1 volta a settimana,1 volta a settimana,1 volta a settimana,1 volta a settimana,2-3 volte al mese,Molto aumentato,Molto aumentato,Molto aumentato,Molto aumentato,Molto aumentato,Molto aumentato,Molto aumentato,25-34,Salubristi
59,Italia,Sicilia,Maschio,24,Sud e Isole,Solo io,"SALUBRISTI: vedono il cibo come un modo per preservare la loro salute. Sono molto attenti alla salubrità degli alimenti,",2-3 volte al mese,4-5 volte all’anno,1 volta a settimana,1 volta a settimana,Tutti i giorni o quasi,2-3 volte al mese,2-3 volte al mese,Uguale,Un po’ diminuito,Uguale,Uguale,Uguale,Uguale,Uguale,20-24,Salubristi
61,Italia,Veneto,Maschio,23,Nord Est,Principalmente io e occasionalmente altri,"SALUTISTI: sono molto attenti a un’alimentazione sana, spesso sono sotto regime dietetico e si concedono pochi sgarri du",2-3 volte a settimana,2-3 volte a settimana,2-3 volte a settimana,2-3 volte a settimana,2-3 volte a settimana,2-3 volte a settimana,2-3 volte a settimana,Un po’ aumentato,Uguale,Un po’ aumentato,Uguale,Un po’ aumentato,Uguale,Un po’ aumentato,20-24,Salutisti
62,Italia,Piemonte,Maschio,24,Nord Ovest,Soprattutto io,"RISTORIANI: consumano molto frequentemente in ristoranti o bar, iniziano la mattina con la classica colazione al bar (pe",2-3 volte a settimana,1 volta a settimana,1 volta a settimana,1 volta a settimana,2-3 volte a settimana,1 volta a settimana,2-3 volte a settimana,Molto aumentato,Un po’ aumentato,Molto aumentato,Uguale,Un po’ diminuito,Molto aumentato,Uguale,20-24,Ristoriani
63,Italia,Abruzzo,Femmina,68,Sud e Isole,Soprattutto io,"ESTEROFILI: sempre pronti a sperimentare nuove cucine, differenti dai consueti piatti nazionali. Sono dei viaggiatori de",2-3 volte al mese,Più raramente,2-3 volte al mese,4-5 volte all’anno,1 volta al mese,Più raramente,4-5 volte all’anno,Un po’ diminuito,Un po’ diminuito,Un po’ aumentato,Un po’ diminuito,Uguale,Molto diminuito,Molto diminuito,65-70,Esterofili
64,Italia,Puglia,Maschio,24,Sud e Isole,Principalmente io e occasionalmente altri,"SALUTISTI: sono molto attenti a un’alimentazione sana, spesso sono sotto regime dietetico e si concedono pochi sgarri du",4-5 volte all’anno,4-5 volte all’anno,1 volta al mese,1 volta al mese,1 volta al mese,Mai,4-5 volte all’anno,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,20-24,Salutisti
65,Italia,Lazio,Femmina,39,Centro,Soprattutto io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",1 volta al mese,4-5 volte all’anno,1 volta a settimana,2-3 volte al mese,1 volta a settimana,1 volta al mese,1 volta al mese,Uguale,Uguale,Uguale,Uguale,Un po’ aumentato,Uguale,Uguale,35-44,Territorialisti
66,Italia,Campania,Maschio,20,Sud e Isole,Solo io,"RISTORIANI: consumano molto frequentemente in ristoranti o bar, iniziano la mattina con la classica colazione al bar (pe",1 volta al mese,1 volta a settimana,1 volta al mese,2-3 volte a settimana,2-3 volte a settimana,1 volta a settimana,1 volta al mese,Un po’ aumentato,Un po’ aumentato,Un po’ aumentato,Un po’ aumentato,Un po’ aumentato,Un po’ aumentato,Un po’ aumentato,20-24,Ristoriani
67,Italia,Campania,Maschio,36,Sud e Isole,Principalmente io e occasionalmente altri,"SALUTISTI: sono molto attenti a un’alimentazione sana, spesso sono sotto regime dietetico e si concedono pochi sgarri du",Tutti i giorni o quasi,2-3 volte al mese,1 volta al mese,4-5 volte all’anno,Tutti i giorni o quasi,1 volta al mese,Più raramente,Molto aumentato,Molto diminuito,Molto diminuito,Uguale,Molto diminuito,Un po’ aumentato,Molto aumentato,35-44,Salutisti
68,Italia,Sicilia,Maschio,24,Sud e Isole,Soprattutto io,"ESTEROFILI: sempre pronti a sperimentare nuove cucine, differenti dai consueti piatti nazionali. Sono dei viaggiatori de",1 volta a settimana,2-3 volte a settimana,2-3 volte a settimana,2-3 volte a settimana,1 volta a settimana,1 volta a settimana,2-3 volte a settimana,Un po’ aumentato,Molto aumentato,Molto aumentato,Un po’ aumentato,Un po’ aumentato,Molto aumentato,Molto aumentato,20-24,Esterofili
69,Italia,Campania,Maschio,22,Sud e Isole,Io e qualcun altro in egual misura,"RISTORIANI: consumano molto frequentemente in ristoranti o bar, iniziano la mattina con la classica colazione al bar (pe",Tutti i giorni o quasi,Tutti i giorni o quasi,Tutti i giorni o quasi,Tutti i giorni o quasi,2-3 volte a settimana,2-3 volte a settimana,Tutti i giorni o quasi,Un po’ diminuito,Un po’ aumentato,Un po’ aumentato,Uguale,Molto aumentato,Molto aumentato,Un po’ aumentato,20-24,Ristoriani
70,Italia,Piemonte,Maschio,21,Nord Ovest,Solo altri membri della famiglia,"RISTORIANI: consumano molto frequentemente in ristoranti o bar, iniziano la mattina con la classica colazione al bar (pe",2-3 volte a settimana,2-3 volte a settimana,1 volta a settimana,2-3 volte a settimana,1 volta a settimana,1 volta al mese,2-3 volte a settimana,Uguale,Un po’ aumentato,Molto aumentato,Molto aumentato,Molto diminuito,Molto aumentato,Un po’ aumentato,20-24,Ristoriani
72,Italia,Umbria,Maschio,22,Centro,Soprattutto io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",2-3 volte al mese,2-3 volte a settimana,2-3 volte a settimana,2-3 volte al mese,1 volta a settimana,2-3 volte al mese,Tutti i giorni o quasi,Molto aumentato,Un po’ aumentato,Un po’ aumentato,Uguale,Uguale,Uguale,Uguale,20-24,Territorialisti
73,Italia,Campania,Maschio,43,Sud e Isole,Io e qualcun altro in egual misura,ETICISTI: acquistano e consumano secondo i principi etici in cui credono. Sono inclusi i principi di non violenza nei co,2-3 volte a settimana,2-3 volte a settimana,1 volta a settimana,2-3 volte a settimana,1 volta a settimana,1 volta a settimana,1 volta a settimana,Un po’ aumentato,Molto aumentato,Molto aumentato,Molto aumentato,Molto aumentato,Un po’ aumentato,Un po’ aumentato,35-44,Eticisti
74,Italia,Toscana,Femmina,57,Centro,Solo io,Nessuno di questi,2-3 volte al mese,Più raramente,2-3 volte al mese,2-3 volte al mese,2-3 volte al mese,2-3 volte al mese,2-3 volte al mese,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,55-64,Nessuno di questi
75,Italia,Veneto,Maschio,22,Nord Est,Principalmente io e occasionalmente altri,"INDUSTRIARIANI: comprano nei supermercati, di cui vedono diverse qualità, tra cui avere merce sicura tutto l’anno a prez",1 volta a settimana,1 volta a settimana,1 volta a settimana,1 volta a settimana,1 volta a settimana,1 volta a settimana,1 volta a settimana,Un po’ diminuito,Un po’ diminuito,Molto aumentato,Un po’ aumentato,Molto diminuito,Uguale,Molto diminuito,20-24,Industriariani
76,Italia,Emilia Romagna,Maschio,21,Nord Est,Io e qualcun altro in egual misura,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",2-3 volte al mese,1 volta al mese,2-3 volte a settimana,1 volta a settimana,1 volta a settimana,Tutti i giorni o quasi,1 volta a settimana,Un po’ aumentato,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,20-24,Territorialisti
77,Italia,Toscana,Maschio,26,Centro,Soprattutto io,"RISTORIANI: consumano molto frequentemente in ristoranti o bar, iniziano la mattina con la classica colazione al bar (pe",Tutti i giorni o quasi,2-3 volte a settimana,2-3 volte a settimana,1 volta a settimana,2-3 volte a settimana,2-3 volte a settimana,1 volta a settimana,Un po’ aumentato,Un po’ aumentato,Uguale,Uguale,Un po’ aumentato,Molto aumentato,Uguale,25-34,Ristoriani
79,Italia,Marche,Maschio,24,Centro,Principalmente io e occasionalmente altri,"ESSENZIALISTI: vedono il cibo come una necessità, mangiano essenzialmente per nutrirsi e per saziarsi, è sufficiente che",1 volta a settimana,1 volta a settimana,1 volta a settimana,1 volta a settimana,Tutti i giorni o quasi,2-3 volte a settimana,2-3 volte a settimana,Uguale,Uguale,Un po’ aumentato,Uguale,Uguale,Uguale,Molto aumentato,20-24,Essenzialisti
80,Italia,Emilia Romagna,Maschio,25,Nord Est,Io e qualcun altro in egual misura,"RISTORIANI: consumano molto frequentemente in ristoranti o bar, iniziano la mattina con la classica colazione al bar (pe",1 volta a settimana,1 volta a settimana,2-3 volte a settimana,2-3 volte al mese,2-3 volte al mese,2-3 volte al mese,1 volta a settimana,Molto aumentato,Molto aumentato,Un po’ aumentato,Un po’ aumentato,Un po’ diminuito,Uguale,Un po’ aumentato,25-34,Ristoriani
81,Italia,Puglia,Maschio,23,Sud e Isole,Solo io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",1 volta al mese,2-3 volte a settimana,1 volta a settimana,2-3 volte a settimana,1 volta al mese,1 volta a settimana,2-3 volte al mese,Un po’ aumentato,Un po’ aumentato,Un po’ aumentato,Un po’ diminuito,Un po’ aumentato,Uguale,Molto aumentato,20-24,Territorialisti
82,Italia,Calabria,Femmina,23,Sud e Isole,Soprattutto io,"INDUSTRIARIANI: comprano nei supermercati, di cui vedono diverse qualità, tra cui avere merce sicura tutto l’anno a prez",1 volta a settimana,2-3 volte a settimana,2-3 volte a settimana,1 volta a settimana,1 volta a settimana,2-3 volte a settimana,2-3 volte a settimana,Molto diminuito,Molto aumentato,Un po’ aumentato,Uguale,Molto diminuito,Uguale,Molto aumentato,20-24,Industriariani
83,Italia,Marche,Maschio,24,Centro,Soprattutto io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",Mai,Più raramente,Più raramente,2-3 volte al mese,Più raramente,2-3 volte a settimana,2-3 volte a settimana,Molto diminuito,Molto aumentato,Molto diminuito,Un po’ aumentato,Molto diminuito,Un po’ diminuito,Un po’ diminuito,20-24,Territorialisti
84,Italia,Campania,Maschio,24,Sud e Isole,Io e qualcun altro in egual misura,"ESTEROFILI: sempre pronti a sperimentare nuove cucine, differenti dai consueti piatti nazionali. Sono dei viaggiatori de",1 volta a settimana,1 volta a settimana,2-3 volte al mese,1 volta al mese,1 volta al mese,2-3 volte al mese,2-3 volte al mese,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,20-24,Esterofili
86,Italia,Abruzzo,Maschio,21,Sud e Isole,Soprattutto altri membri della famiglia,"SALUTISTI: sono molto attenti a un’alimentazione sana, spesso sono sotto regime dietetico e si concedono pochi sgarri du",1 volta a settimana,Tutti i giorni o quasi,1 volta a settimana,1 volta a settimana,2-3 volte a settimana,1 volta a settimana,1 volta a settimana,Molto diminuito,Un po’ diminuito,Un po’ aumentato,Molto diminuito,Uguale,Molto aumentato,Uguale,20-24,Salutisti
87,Italia,Puglia,Maschio,22,Sud e Isole,Solo io,ESTETIZZANTI: Amano consumare portate appariscenti da condividere con la loro cerchia e sui social. Utilizzano il cibo p,4-5 volte all’anno,4-5 volte all’anno,2-3 volte al mese,1 volta al mese,2-3 volte al mese,1 volta al mese,1 volta al mese,Uguale,Un po’ aumentato,Un po’ aumentato,Uguale,Uguale,Molto aumentato,Un po’ aumentato,20-24,Estetizzanti
88,Italia,Lazio,Maschio,22,Centro,Soprattutto altri membri della famiglia,"RISTORIANI: consumano molto frequentemente in ristoranti o bar, iniziano la mattina con la classica colazione al bar (pe",2-3 volte a settimana,Tutti i giorni o quasi,2-3 volte a settimana,2-3 volte a settimana,2-3 volte a settimana,2-3 volte a settimana,2-3 volte a settimana,Molto aumentato,Molto aumentato,Un po’ aumentato,Molto aumentato,Un po’ aumentato,Un po’ aumentato,Molto aumentato,20-24,Ristoriani
89,Italia,Sicilia,Maschio,33,Sud e Isole,Principalmente io e occasionalmente altri,"ESTEROFILI: sempre pronti a sperimentare nuove cucine, differenti dai consueti piatti nazionali. Sono dei viaggiatori de",2-3 volte a settimana,1 volta a settimana,1 volta a settimana,2-3 volte a settimana,2-3 volte a settimana,1 volta a settimana,1 volta a settimana,Uguale,Uguale,Un po’ aumentato,Un po’ diminuito,Uguale,Un po’ aumentato,Un po’ aumentato,25-34,Esterofili
90,Italia,Calabria,Maschio,21,Sud e Isole,Io e qualcun altro in egual misura,"EDONISTI: persone che ricercano l’esperienza gustativa nel consumo alimentare, non si accontentano di sfamarsi per neces",4-5 volte all’anno,2-3 volte al mese,2-3 volte al mese,1 volta al mese,1 volta a settimana,4-5 volte all’anno,1 volta al mese,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,20-24,Edonisti
91,Italia,Trentino Alto Adige,Maschio,23,Nord Est,Principalmente io e occasionalmente altri,ETICISTI: acquistano e consumano secondo i principi etici in cui credono. Sono inclusi i principi di non violenza nei co,2-3 volte a settimana,2-3 volte a settimana,2-3 volte a settimana,2-3 volte al mese,Tutti i giorni o quasi,2-3 volte a settimana,1 volta al mese,Molto diminuito,Un po’ aumentato,Molto diminuito,Molto diminuito,Uguale,Un po’ aumentato,Un po’ aumentato,20-24,Eticisti
92,Italia,Sardegna,Maschio,63,Sud e Isole,Io e qualcun altro in egual misura,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",2-3 volte al mese,1 volta al mese,2-3 volte a settimana,2-3 volte al mese,2-3 volte a settimana,1 volta a settimana,1 volta al mese,Un po’ aumentato,Un po’ aumentato,Uguale,Un po’ aumentato,Un po’ aumentato,Un po’ aumentato,Un po’ aumentato,55-64,Territorialisti
93,Italia,Lombardia,Femmina,70,Nord Ovest,Io e qualcun altro in egual misura,Nessuno di questi,Mai,4-5 volte all’anno,1 volta a settimana,Mai,1 volta a settimana,1 volta a settimana,Mai,Molto diminuito,Uguale,Uguale,Uguale,Uguale,Uguale,Molto diminuito,65-70,Nessuno di questi
95,Italia,Liguria,Maschio,67,Nord Ovest,Soprattutto io,"LOCALIVORI: danno priorità ai prodotti km0 e anche biologici, quando riescono cercano di autoprodursi il cibo che consum",Mai,Più raramente,2-3 volte a settimana,Mai,Tutti i giorni o quasi,2-3 volte a settimana,2-3 volte a settimana,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,65-70,Localivori
96,Italia,Lombardia,Maschio,69,Nord Ovest,Soprattutto io,"SALUBRISTI: vedono il cibo come un modo per preservare la loro salute. Sono molto attenti alla salubrità degli alimenti,",2-3 volte al mese,1 volta al mese,1 volta a settimana,4-5 volte all’anno,Tutti i giorni o quasi,Tutti i giorni o quasi,1 volta al mese,Uguale,Un po’ diminuito,Uguale,Un po’ diminuito,Uguale,Uguale,Uguale,65-70,Salubristi
97,Italia,Sardegna,Femmina,65,Sud e Isole,Soprattutto io,"LOCALIVORI: danno priorità ai prodotti km0 e anche biologici, quando riescono cercano di autoprodursi il cibo che consum",Mai,4-5 volte all’anno,2-3 volte al mese,Mai,1 volta al mese,Mai,1 volta al mese,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,65-70,Localivori
98,Italia,Veneto,Femmina,65,Nord Est,Principalmente io e occasionalmente altri,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",1 volta al mese,4-5 volte all’anno,1 volta a settimana,Più raramente,1 volta a settimana,1 volta a settimana,2-3 volte al mese,Molto diminuito,Uguale,Uguale,Molto diminuito,Un po’ aumentato,Uguale,Uguale,65-70,Territorialisti
99,Italia,Friuli Venezia Giulia,Maschio,65,Nord Est,Io e qualcun altro in egual misura,"EDONISTI: persone che ricercano l’esperienza gustativa nel consumo alimentare, non si accontentano di sfamarsi per neces",1 volta a settimana,Più raramente,2-3 volte al mese,4-5 volte all’anno,1 volta al mese,1 volta al mese,1 volta al mese,Uguale,Un po’ diminuito,Uguale,Un po’ diminuito,Uguale,Uguale,Uguale,65-70,Edonisti
100,Italia,Puglia,Femmina,67,Sud e Isole,Solo io,"INDUSTRIARIANI: comprano nei supermercati, di cui vedono diverse qualità, tra cui avere merce sicura tutto l’anno a prez",2-3 volte al mese,4-5 volte all’anno,1 volta a settimana,1 volta a settimana,2-3 volte al mese,1 volta a settimana,1 volta a settimana,Molto diminuito,Uguale,Un po’ diminuito,Uguale,Un po’ diminuito,Molto diminuito,Un po’ diminuito,65-70,Industriariani
101,Italia,Lombardia,Maschio,68,Nord Ovest,Io e qualcun altro in egual misura,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",Più raramente,Più raramente,1 volta al mese,Più raramente,1 volta al mese,1 volta al mese,Più raramente,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,65-70,Territorialisti
104,Italia,Veneto,Maschio,67,Nord Est,Soprattutto io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",4-5 volte all’anno,4-5 volte all’anno,1 volta a settimana,4-5 volte all’anno,2-3 volte al mese,1 volta al mese,1 volta a settimana,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,65-70,Territorialisti
105,Italia,Lombardia,Maschio,66,Nord Ovest,Soprattutto io,"EDONISTI: persone che ricercano l’esperienza gustativa nel consumo alimentare, non si accontentano di sfamarsi per neces",1 volta al mese,Più raramente,1 volta a settimana,1 volta a settimana,1 volta al mese,1 volta al mese,1 volta al mese,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,65-70,Edonisti
106,Italia,Lombardia,Femmina,65,Nord Ovest,Solo io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",Più raramente,1 volta a settimana,1 volta a settimana,Più raramente,2-3 volte a settimana,4-5 volte all’anno,4-5 volte all’anno,Un po’ diminuito,Uguale,Uguale,Un po’ aumentato,Uguale,Uguale,Un po’ diminuito,65-70,Territorialisti
108,Italia,Campania,Femmina,66,Sud e Isole,Io e qualcun altro in egual misura,"SALUBRISTI: vedono il cibo come un modo per preservare la loro salute. Sono molto attenti alla salubrità degli alimenti,",2-3 volte a settimana,2-3 volte a settimana,2-3 volte a settimana,2-3 volte a settimana,2-3 volte a settimana,2-3 volte a settimana,2-3 volte al mese,Un po’ diminuito,Uguale,Uguale,Un po’ diminuito,Uguale,Uguale,Un po’ diminuito,65-70,Salubristi
109,Italia,Lombardia,Maschio,66,Nord Ovest,Soprattutto io,"SALUBRISTI: vedono il cibo come un modo per preservare la loro salute. Sono molto attenti alla salubrità degli alimenti,",1 volta al mese,Più raramente,2-3 volte al mese,1 volta al mese,1 volta al mese,2-3 volte al mese,4-5 volte all’anno,Uguale,Uguale,Uguale,Uguale,Un po’ diminuito,Uguale,Uguale,65-70,Salubristi
111,Italia,Lazio,Femmina,66,Centro,Soprattutto io,Nessuno di questi,1 volta al mese,4-5 volte all’anno,1 volta a settimana,Più raramente,1 volta a settimana,1 volta a settimana,Più raramente,Un po’ diminuito,Un po’ diminuito,Un po’ diminuito,Molto diminuito,Un po’ aumentato,Uguale,Un po’ diminuito,65-70,Nessuno di questi
112,Italia,Campania,Femmina,66,Sud e Isole,Solo io,ETICISTI: acquistano e consumano secondo i principi etici in cui credono. Sono inclusi i principi di non violenza nei co,4-5 volte all’anno,1 volta al mese,4-5 volte all’anno,4-5 volte all’anno,1 volta al mese,1 volta al mese,1 volta al mese,Un po’ diminuito,Uguale,Uguale,Un po’ diminuito,Uguale,Un po’ aumentato,Uguale,65-70,Eticisti
